Headline,Timestamp,processed_headline,sentiment,NE_Headline,Date,Month,Year,Subjectivity,Polarity
HDFC Bank hikes loan interest rates by up to 10 bps: Check how much rates have been hiked in one year,2024-01-08T06:58:43Z,hdfc bank hike loan interest rate 10 bps check much rate hiked one year,positive,HDFC Bank,8,1,2024,0.2,0.2
HDFC Bank Share Price Live Updates: HDFC Bank Sees Slight Increase in Price with 0.63% Change Today,2024-01-09T07:46:16Z,hdfc bank share price live update hdfc bank see slight increase price 063 change today,negative,HDFC Bank Share HDFC Bank Sees Slight Increase,9,1,2024,0.3333333333333333,-0.015151515151515152
"MCap of 6 leading firms in top 10 sees ₹57,408 crore dip; TCS, HDFC Bank worst hit | Mint",2024-01-07T05:51:04Z,mcap 6 leading firm top 10 see 57408 crore dip tc hdfc bank worst hit mint,negative,TCS HDFC Bank,7,1,2024,0.6333333333333333,-0.2333333333333333
"HDFC Bank News: కస్టమర్లకు భారీ షాకిచ్చిన హెచ్‌డీఎఫ్‌సీ బ్యాంక్.. కీలక ప్రకటన, ఈరోజు నుంచి | HDFC Bank hike...",2024-01-08T09:40:09Z,hdfc bank news కసటమరలక భర షకచచన హచడఎఫస బయక కలక పరకటన ఈరజ నచ hdfc bank hike,neutral,HDFC Bank HDFC Bank,8,1,2024,0.0,0.0
"Mcap of 6 of top-10 most valued firms decline by Rs 57,408 crore; TCS, HDFC Bank major laggards",2024-01-07T05:38:57Z,mcap 6 top10 valued firm decline r 57408 crore tc hdfc bank major laggard,negative,TCS HDFC Bank,7,1,2024,0.45,-0.06875
"HDFC Bank ने बढ़ाया MCLR रेट्स, अब से लोन पर देना होगा ज्यादा ब्याज",2024-01-08T13:40:34Z,hdfc bank न बढय mclr रटस अब स लन पर दन हग जयद बयज,neutral,HDFC Bank अब,8,1,2024,0.0,0.0
"HDFC ग्राहकों को लगा बड़ा झटका, अब होम, कार और पर्सनल लोन लेने वालों को देना होगा ज्यादा पैसा",2024-01-09T07:33:50Z,hdfc गरहक क लग बड झटक अब हम कर और परसनल लन लन वल क दन हग जयद पस,neutral,HDFC अब,9,1,2024,0.0,0.0
"SBI, ICICI, Axis और HDFC Bank ने बदले क्रेडिट कार्ड से जुड़े नियम, जानिए यूजर्स पर क्या होगा असर...",2024-01-08T11:17:19Z,sbi icici axis और hdfc bank न बदल करडट करड स जड नयम जनए यजरस पर कय हग असर,neutral,ICICI Axis और HDFC Bank,8,1,2024,0.0,0.0
"HDFC Bank : HDFC बँकेच्या ग्राहकांना धक्का, आता 'या' कामासाठी मोजावे लागणार जास्त पैसे !",2024-01-09T08:47:25Z,hdfc bank hdfc बकचय गरहकन धकक आत य कमसठ मजव लगणर जसत पस,neutral,HDFC Bank HDFC,9,1,2024,0.0,0.0
HDFC Bank: హెచ్‌డీఎఫ్‌సీ బ్యాంక్ షాకింగ్ నిర్ణయం.. కస్టమర్లకు పెద్ద దెబ్బ.. ఇవాళ్టి నుంచే అమల్లోకి..,2024-01-08T07:59:21Z,hdfc bank హచడఎఫస బయక షకగ నరణయ కసటమరలక పదద దబబ ఇవళట నచ అమలలక,neutral,HDFC Bank,8,1,2024,0.0,0.0
"New credit card rules: Know major changes in HDFC Bank, SBI Card, ICICI Bank and Axis Bank credit cards",2024-01-08T10:05:24Z,new credit card rule know major change hdfc bank sbi card icici bank axis bank credit card,positive,New HDFC Bank SBI Card ICICI Bank Axis Bank,8,1,2024,0.4772727272727273,0.09943181818181818
"HDFC Bank ने बढ़ाया MCLR रेट्स, अब से लोन पर देना होगा ज्यादा ब्याज",2024-01-08T15:20:35Z,hdfc bank न बढय mclr रटस अब स लन पर दन हग जयद बयज,neutral,HDFC Bank अब,8,1,2024,0.0,0.0
"Mcap of 6 of top-10 most valued firms decline by Rs 57,408 cr; TCS, HDFC Bank major laggards",2024-01-07T05:16:49Z,mcap 6 top10 valued firm decline r 57408 cr tc hdfc bank major laggard,negative,TCS HDFC Bank,7,1,2024,0.45,-0.06875
Hdfc Bank share price Today Live Updates : HDFC Bank shares decline in trading today | Mint,2024-01-09T08:50:58Z,hdfc bank share price today live update hdfc bank share decline trading today mint,positive,Hdfc Bank HDFC Bank,9,1,2024,0.5,0.13636363636363635
"HDFC Bank, Tata Steel, RIL, ICICI, JSW Steel to drive Q3 Nifty results, says Motilal. Full table",2024-01-08T05:31:58Z,hdfc bank tata steel ril icici jsw steel drive q3 nifty result say motilal full table,positive,HDFC Bank Tata Steel RIL ICICI JSW Steel Q3 Nifty Motilal Full,8,1,2024,0.55,0.35
"HDFC Bank Stock, Adani Ports; Top Chartbuster Stocks Ideas By Kunal & Nooresh| Chart Analysis",2024-01-09T06:02:18Z,hdfc bank stock adani port top chartbuster stock idea kunal nooresh chart analysis,positive,HDFC Bank Stock Adani Ports Top Chartbuster Stocks Ideas Kunal,9,1,2024,0.5,0.5
HDFC Bank's advances rise 62.4% to Rs 24.7 trn in December quarter,2024-01-05T06:09:11Z,hdfc bank advance rise 624 r 247 trn december quarter,neutral,HDFC Bank,5,1,2024,0.0,0.0
"HDFC Bank Q3 business update: Gross advances grow 62.4%, retail loans 111% up",2024-01-05T04:00:17Z,hdfc bank q3 business update gross advance grow 624 retail loan 111,neutral,HDFC Bank Q3,5,1,2024,0.0,0.0
"Mcap of 6 of top-10 most-valued firms decline by ₹57,408 cr; TCS, HDFC Bank major laggards",2024-01-07T05:28:36Z,mcap 6 top10 mostvalued firm decline 57408 cr tc hdfc bank major laggard,negative,TCS HDFC Bank,7,1,2024,0.45,-0.06875
"HDFC Bank shares Q3 business update, says advances jump 62.4%, deposits 27.7%",2024-01-05T03:53:26Z,hdfc bank share q3 business update say advance jump 624 deposit 277,neutral,HDFC Bank,5,1,2024,0.0,0.0
"Sanjiv Bhasin Top Stocks Picks For Today; HDFC Bank, Zee Entertainment Stocks, Zee Sony Merger",2024-01-09T03:41:34Z,sanjiv bhasin top stock pick today hdfc bank zee entertainment stock zee sony merger,positive,Sanjiv Bhasin Top Stocks Picks HDFC Bank Zee Entertainment Stocks Zee Sony Merger,9,1,2024,0.5,0.5
"HDFC Bank, Reliance Industries, Infosys among 9 bottom-up ideas in Bernstein India Model Portfolio | Mint",2024-01-05T04:48:52Z,hdfc bank reliance industry infosys among 9 bottomup idea bernstein india model portfolio mint,neutral,HDFC Bank Reliance Industries Infosys Bernstein India Model Portfolio,5,1,2024,0.0,0.0
"Paytm, SBI, Axis, ICICI, Kotak Bank, HDFC Bank shares: Bernstein sees up to 47% upside. Here's why",2024-01-03T07:55:49Z,paytm sbi axis icici kotak bank hdfc bank share bernstein see 47 upside here,neutral,Paytm SBI Axis ICICI Kotak Bank HDFC Bank Bernstein,3,1,2024,0.0,0.0
"Hdfc Bank share price Today Live Updates : Hdfc Bank closed today at ₹1682.5, down -0.45% from yesterday's ₹1690.1 | Mint",2024-01-05T13:06:12Z,hdfc bank share price today live update hdfc bank closed today 16825 045 yesterday 16901 mint,positive,Hdfc Bank Hdfc Bank,5,1,2024,0.3,0.018181818181818174
Will HDFC Bank Outperform In 2024 After 3 Years Of Underperformance?,2024-01-04T06:44:05Z,hdfc bank outperform 2024 3 year underperformance,neutral,Will HDFC Bank Outperform,4,1,2024,0.0,0.0
"These 5 stocks including HDFC Bank, Bajaj Finance command 71% of the Nifty 50 gains today | Mint",2024-01-04T11:33:40Z,5 stock including hdfc bank bajaj finance command 71 nifty 50 gain today mint,neutral,HDFC Bank Bajaj Finance Mint,4,1,2024,0.0,0.0
"Hdfc Bank share price Today Live Updates : Hdfc Bank closed today at ₹1663.75, down -1.11% from yesterday's ₹1682.5 | Mint",2024-01-08T13:04:12Z,hdfc bank share price today live update hdfc bank closed today 166375 111 yesterday 16825 mint,positive,Hdfc Bank Hdfc Bank,8,1,2024,0.3,0.018181818181818174
"Hdfc Bank share price Today Live Updates : Hdfc Bank closed today at ₹1690.1, up 1.03% from yesterday's ₹1672.85 | Mint",2024-01-04T13:14:34Z,hdfc bank share price today live update hdfc bank closed today 16901 103 yesterday 167285 mint,positive,Hdfc Bank Hdfc Bank,4,1,2024,0.3,0.018181818181818174
HDFC Bank Q3 Update: Gross advances rise 62.4% to ₹24.69 lakh crore; deposits up 27.7% YoY | Mint,2024-01-05T04:01:32Z,hdfc bank q3 update gross advance rise 624 2469 lakh crore deposit 277 yoy mint,neutral,HDFC Bank Q3 YoY,5,1,2024,0.0,0.0
"HDFC Bank raises ₹7,425 crore via bonds to fund infra, affordable housing projects | Mint",2023-12-20T08:00:00Z,hdfc bank raise 7425 crore via bond fund infra affordable housing project mint,neutral,HDFC Bank Mint,20,12,2023,0.0,0.0
HDFC Bank Q3 Update: Gross advances jump 62% YoY to Rs 24.69 lakh crore,2024-01-05T04:39:08Z,hdfc bank q3 update gross advance jump 62 yoy r 2469 lakh crore,neutral,HDFC Bank Q3 Gross YoY,5,1,2024,0.0,0.0
"How will HDFC Bank, Axis Bank, SBI and others perform in 2024? 5 key trends that will determine banks' performance | Mint",2024-01-04T09:58:19Z,hdfc bank axis bank sbi others perform 2024 5 key trend determine bank performance mint,neutral,HDFC Bank Axis Bank SBI,4,1,2024,1.0,0.0
"HDFC Bank shares trade in red on Q3 update, gross advances rise 62.4%",2024-01-05T05:40:58Z,hdfc bank share trade red q3 update gross advance rise 624,neutral,HDFC Bank,5,1,2024,0.0,0.0
HDFC Bank Q3 Results: Gross advances up by 62.4% to Rs 24.69 lakh crore - Elets BFSI,2024-01-05T06:37:20Z,hdfc bank q3 result gross advance 624 r 2469 lakh crore elets bfsi,neutral,HDFC Bank Q3 Gross,5,1,2024,0.0,0.0
HDFC Bank loan book rises to Rs 24.69 lakh cr in Q3,2024-01-08T14:02:47Z,hdfc bank loan book rise r 2469 lakh cr q3,neutral,HDFC Bank Q3,8,1,2024,0.0,0.0
